"TABLE_NAME","FIELD_NAME","FIELD_TYPE_SQL","FIELD_LENGTH","FIELD_DESC"
"API_Requests","Idx","AUTOINC","4",""
"API_Requests","xAPIs","INTEGER","4",""
"API_Requests","RequestName","CHARACTER VARYING","51",""
"API_Requests","RequestStructure","CHARACTER LARGE OBJECT","8",""
"API_Requests","RequestParams","CHARACTER LARGE OBJECT","8",""
"API_Requests","DetailArrayDescriptor","CHARACTER VARYING","51",""
"API_Responses","Idx","AUTOINC","4",""
"API_Responses","xAPI_Request","INTEGER","4",""
"API_Responses","TimeStamp","TIMESTAMP","8",""
"API_Responses","StatusCode","INTEGER","4",""
"API_Responses","ResponseURL","CHARACTER LARGE OBJECT","8",""
"API_Responses","ResponseStats","CHARACTER LARGE OBJECT","8",""
"API_Responses","ResponseHeaders","CHARACTER LARGE OBJECT","8",""
"API_Responses","ResponseContent","CHARACTER LARGE OBJECT","8",""
"APIs","Idx","AUTOINC","4",""
"APIs","API_Name","SHORTSTRING","51",""
"APIs","Constants","CHARACTER LARGE OBJECT","8",""
"AccountStatus","IDX","AUTOINC","4",""
"AccountStatus","StatusName","SHORTSTRING","101",""
"AccountStatus","StatusText","CHARACTER LARGE OBJECT","8",""
"AccountStatus","Colour","INTEGER","4",""
"AccountStatus","Warning","BOOLEAN","1",""
"AccountStatus","xAccountStatusForOnHold","INTEGER","4",""
"AccountingDocHeaders","IDX","AUTOINC","4",""
"AccountingDocHeaders","HeaderText","CHARACTER LARGE OBJECT","8",""
"AccountingDocHeaders","HeaderType","BYTE","1","TAccountsDocumentHeaderType"
"AccountsIntegration","IDX","AUTOINC","4",""
"AccountsIntegration","AccountPackageID","BYTE","1"," TAccountsIntegrationType = ({aitNone,} aitSage, aitZapier {, aitQuickBooks, aitZero}) - note aitNone retired for 263"
"AccountsIntegration","AccountPackageName","SHORTSTRING","31",""
"AccountsIntegration","PackageSettings","CHARACTER LARGE OBJECT","8","Delphi class that inherits from TAccountIntegrationSettings"
"AccountsIntegration","xQBEInvoiceExport","INTEGER","4",""
"AccountsIntegration","xQBEOrdersExport","INTEGER","4",""
"AccountsIntegration","xQBECustomerExport","INTEGER","4",""
"AccountsIntegration","xQBECustomerImport","INTEGER","4",""
"AccountsIntegration","xQBECustomerCompare","INTEGER","4",""
"AccountsIntegration","xQBECustomerUpdate","INTEGER","4",""
"AccountsIntegration","IsDefault","BOOLEAN","1","Legacy. Superceded by ""IntegrationCombinination"""
